代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
000600	建投能源	-1.95	10.57	-0.21	10.57	10.58	142993	1729	0.00	          1.31	10.71	10.74	10.51	10.78	     8.11	151994160	  0.79	火力发电	河北	2.13	10.63	92871	50122	  1.85	225	667	--  	
000601	韶能股份	-0.81	11.03	-0.09	11.03	11.04	324381	1904	0.00	          3.26	11.12	11.28	10.88	11.12	    37.16	358630560	  0.90	火力发电	广东	3.60	11.06	178280	146100	  1.22	519	366	--  	
000603	盛达矿业	--  	16.30	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.30	    31.23	0	  0.00	铅锌	北京	0.00	16.30	0	0	--  	0	0	--  	
000605	渤海股份	-1.65	23.30	-0.39	23.25	23.30	24085	796	0.08	          2.03	23.76	23.85	23.13	23.69	    97.15	56597640	  0.76	水务	北京	3.04	23.50	14394	9690	  1.49	10	342	--  	
000606	青海明胶	--  	7.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.82	--  	0	  0.00	化学制药	青海	0.00	7.82	0	0	--  	0	0	--  	
000607	华媒控股	-2.36	12.84	-0.31	12.83	12.84	166831	1372	-0.07	          3.42	13.14	13.14	12.60	13.15	    80.83	214778272	  0.65	广告包装	浙江	4.11	12.87	89476	77354	  1.16	1721	4346	--  	
000608	阳光股份	-2.40	5.70	-0.14	5.70	5.71	116496	542	-0.17	          1.55	5.83	5.83	5.61	5.84	   177.19	66866484	  0.66	区域地产	广西	3.77	5.74	64105	52391	  1.22	212	659	--  	
000609	绵世股份	0.36	14.09	0.05	14.09	14.10	71030	1921	0.21	          2.59	13.90	14.30	13.80	14.04	  2567.55	100149856	  0.66	区域地产	北京	3.56	14.10	36722	34307	  1.07	165	365	--  	
000610	西安旅游	1.29	14.08	0.18	14.08	14.09	60613	397	-0.07	          3.11	13.90	14.37	13.85	13.90	--  	85889680	  0.94	旅游服务	陕西	3.74	14.17	30540	30073	  1.02	358	229	--  	
000611	*ST蒙发	1.53	9.95	0.15	9.95	9.96	115853	1914	0.20	          3.63	9.72	10.10	9.72	9.80	--  	115080296	  0.90	纺织	内蒙	3.88	9.93	56419	59434	  0.95	2219	1103	--  	
000612	焦作万方	-2.14	6.87	-0.15	6.87	6.88	126019	1114	0.00	          1.32	6.97	7.01	6.76	7.02	   324.31	86771288	  0.56	铝	河南	3.56	6.89	75650	50369	  1.50	211	222	--  	
000613	大东海A	1.43	15.62	0.22	15.62	15.63	149909	1501	0.12	          5.74	15.40	16.26	15.10	15.40	--  	234156752	  1.94	旅游服务	海南	7.53	15.62	62935	86974	  0.72	181	30	--  	
000615	湖北金环	-2.16	15.39	-0.34	15.38	15.39	43333	287	0.06	          2.05	15.70	15.70	15.26	15.73	    21.85	66909480	  0.58	化纤	湖北	2.80	15.44	28055	15277	  1.84	89	181	--  	
000616	海航投资	-2.43	8.02	-0.20	8.01	8.02	422554	10135	0.25	          2.95	8.16	8.22	7.94	8.22	   142.46	340660128	  0.71	全国地产	辽宁	3.41	8.06	236088	186465	  1.27	1648	138	--  	
000617	石油济柴	-0.57	14.06	-0.08	14.06	14.07	40908	200	0.35	          1.42	14.01	14.25	13.91	14.14	--  	57613496	  0.67	机械基件	山东	2.40	14.08	24204	16704	  1.45	43	62	--  	
000619	海螺型材	1.49	15.01	0.22	15.00	15.01	75108	577	0.06	          2.09	14.86	15.24	14.61	14.79	    54.80	112535816	  1.09	其他建材	安徽	4.26	14.98	40932	34176	  1.20	24	546	--  	
000620	新华联	-2.51	10.48	-0.27	10.48	10.49	84398	1610	-0.19	          0.53	10.69	10.77	10.44	10.75	   114.14	89313704	  0.61	区域地产	北京	3.07	10.58	52460	31937	  1.64	261	2	--  	
000622	恒立实业	3.17	15.30	0.47	15.29	15.30	177469	1896	0.00	          6.27	14.84	15.78	14.67	14.83	--  	271960320	  0.79	汽车配件	湖南	7.48	15.32	76417	101051	  0.76	1291	568	--  	
000623	吉林敖东	-1.50	29.54	-0.45	29.53	29.54	242096	2602	-0.13	          3.00	29.80	29.94	29.31	29.99	     9.82	716462592	  0.78	中成药	吉林	2.10	29.59	130278	111817	  1.17	1295	565	--  	
000625	长安汽车	-2.14	15.56	-0.34	15.55	15.56	341741	4187	-0.06	          1.01	15.77	15.82	15.48	15.90	     8.07	534653536	  0.61	汽车整车	重庆	2.14	15.64	180309	161431	  1.12	960	869	--  	
000626	如意集团	--  	43.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	43.23	    24.96	0	  0.00	商贸代理	江苏	0.00	43.23	0	0	--  	0	0	--  	
000627	天茂集团	-2.14	10.52	-0.23	10.52	10.53	261366	3237	-0.18	          1.93	10.64	10.85	10.40	10.75	--  	277870144	  0.74	化工原料	湖北	4.19	10.63	145178	116187	  1.25	1636	1568	--  	
000628	高新发展	0.93	15.25	0.14	15.24	15.25	65919	771	0.26	          3.51	15.02	15.75	14.94	15.11	--  	101717944	  0.75	园区开发	四川	5.36	15.43	30550	35368	  0.86	80	274	--  	
000629	攀钢钒钛	-2.25	3.04	-0.07	3.03	3.04	716565	7573	0.00	          1.50	3.09	3.12	3.01	3.11	--  	219464096	  0.83	普钢	四川	3.54	3.06	432011	284554	  1.52	14497	768	--  	
000630	铜陵有色	-2.06	3.80	-0.08	3.80	3.81	2201511	24324	-0.26	          2.30	3.86	3.88	3.78	3.88	   149.84	839807424	  0.79	铜	安徽	2.58	3.81	1238523	962988	  1.29	44479	19128	--  	
000631	顺发恒业	-2.96	9.82	-0.30	9.81	9.82	178574	1262	0.61	          1.22	10.15	10.36	9.60	10.12	    45.61	179212576	  0.59	区域地产	吉林	7.51	10.04	100609	77965	  1.29	1555	1678	--  	
000632	三木集团	-1.87	10.48	-0.20	10.47	10.48	95652	1678	-0.38	          2.05	10.69	10.70	10.21	10.68	  3570.09	99821552	  0.83	综合类	福建	4.59	10.44	54179	41473	  1.31	26	415	--  	
000633	合金投资	2.19	16.34	0.35	16.33	16.34	182065	1349	-0.12	          4.73	15.97	16.65	15.53	15.99	--  	293483776	  0.63	综合类	辽宁	7.00	16.12	93606	88458	  1.06	503	11	--  	
000635	英 力 特	0.24	12.56	0.03	12.55	12.56	72548	1005	0.07	          2.39	12.47	12.83	12.43	12.53	   111.23	91388160	  0.85	化工原料	宁夏	3.19	12.60	40269	32278	  1.25	333	282	--  	
000636	风华高科	-1.55	10.13	-0.16	10.12	10.13	153190	1548	0.00	          2.28	10.26	10.29	10.01	10.29	   134.24	155742624	  0.79	元器件	广东	2.72	10.17	86514	66676	  1.30	227	141	--  	
000637	茂化实华	-0.63	7.91	-0.05	7.90	7.91	231985	3347	-0.12	          6.33	7.88	8.00	7.75	7.96	    40.84	182678992	  1.49	石油加工	广东	3.14	7.87	122630	109355	  1.12	546	710	--  	
000638	万方发展	-3.11	21.78	-0.70	21.76	21.78	57576	1530	0.13	          1.86	22.50	22.75	21.57	22.48	--  	127070944	  0.58	批发业	辽宁	5.25	22.07	32867	24709	  1.33	120	59	--  	
000639	西王食品	-1.57	15.69	-0.25	15.69	15.70	88489	727	0.06	          2.35	15.74	15.97	15.52	15.94	    35.05	139356608	  0.95	食品	山东	2.82	15.75	51047	37441	  1.36	789	467	--  	
000650	仁和药业	-1.90	10.31	-0.20	10.30	10.31	266567	4751	-0.09	          2.15	10.40	10.59	10.18	10.51	    36.14	277294048	  0.70	中成药	江西	3.90	10.40	149006	117560	  1.27	2152	9079	--  	
000651	格力电器	2.21	20.83	0.45	20.82	20.83	1767672	13529	-0.14	          2.96	20.37	21.20	20.01	20.38	     9.44	3638810624	  1.14	家用电器	广东	5.84	20.59	841833	925838	  0.91	509	3702	--  	
000652	泰达股份	-0.31	6.42	-0.02	6.42	6.43	230737	3168	0.00	          1.57	6.45	6.49	6.30	6.44	    85.51	148037824	  0.79	综合类	天津	2.95	6.42	129462	101274	  1.28	2843	1210	--  	
000655	金岭矿业	-1.35	8.78	-0.12	8.77	8.78	99386	1377	0.00	          1.67	8.83	8.90	8.70	8.90	--  	87421184	  0.63	普钢	山东	2.25	8.80	57936	41449	  1.40	232	65	--  	
000656	金科股份	-3.01	5.81	-0.18	5.81	5.82	1065691	6210	-0.17	          3.57	5.91	6.10	5.72	5.99	    22.39	622049088	  1.46	区域地产	重庆	6.34	5.84	577606	488085	  1.18	1101	1933	--  	
000657	中钨高新	--  	16.01	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.01	--  	0	  0.00	小金属	海南	0.00	16.01	0	0	--  	0	0	--  	
